LG;MT;NEM;PROM;ICA;PTJEPOND;REM;PTEST;NP1AL;NP2AL;NP3AL;NP1CAL;NP2CAL;NP3CAL;NFAL;NFCAL;PROM.MAT;PlanEstudio;UA
786;812;515;4,683333333;710;735;515;0,92;3,8;3,6;3,5;4,3;5,1;3,8;5;4,2;4,6;IND;S
677;706;694;5,066666667;750;697;723;0,9;4,8;5,3;4,1;5,3;5;5,2;5,1;5,3;5,2;IND;S
694;712;706;4,572727273;700;708;706;0,74;4,3;5,3;2,7;5,7;3,8;3,6;4;4,3;4,2;COM;V
646;639;676;4,825;720;648;698;0,8;4,2;4,3;4;4,1;4,7;4,2;4,4;4,1;4,3;IND;V
512;639;593;4,3;550;615;593;0,66;5,5;3;3,8;3,4;4,1;2,9;3,7;3,5;3,6;IND;V
607;697;509;4,6;640;642;509;0,64;4,5;4,5;2,2;2,7;3,3;3,7;3,4;4;3,7;IND;S
710;673;723;5,190909091;760;692;764;0,7;4,3;5,2;6,4;5;4,3;3,8;4,6;5,1;4,9;COM;V
574;673;686;5,35;780;657;724;0,58;4,8;6,2;3;5,3;6,2;4,8;5,4;5,8;5,6;IND;S
646;663;626;3,233333333;400;649;644;0,54;3;4,8;2,6;2,4;3,8;3,4;3;3;3;IND;S
591;673;521;5,245454545;760;631;521;0,68;6,9;6,9;5;5,7;5,7;5,3;6,4;5,1;5,8;COM;V
681;737;645;4,683333333;710;705;647;0,76;3,2;4,8;3;4,5;5,3;3,3;4,4;4;4,2;IND;S
616;658;635;4,645454545;700;642;664;0,58;2,8;5,8;4,8;6,2;3,8;3,7;4,5;4,5;4,5;COM;V
626;775;659;5,491666667;790;731;679;0,86;4,2;6,6;3,9;5,5;4,2;4,3;5,1;5,2;5,2;IND;S
657;831;599;5,658333333;810;755;606;0,9;6;6,9;6,2;4,5;6,2;4;6,5;5,6;6,1;IND;S
616;728;723;6,09;850;720;749;0,92;6,2;6,6;5,8;6,7;5,7;4,9;6,3;5,8;6,1;IND;V
681;644;704;3,225;400;668;759;0,5;2,8;3,7;1,4;3,1;3,8;2,2;2,6;2,7;2,7;IND;S
552;728;641;4,809090909;720;679;663;0,74;4,8;6,2;5;4,3;4,3;4,1;5,2;4,1;4,7;COM;S
518;663;647;4,391666667;580;641;658;0,46;3,2;4,8;3,2;3,6;2,8;2,9;4,1;3,6;3,9;IND;S
568;697;558;4,166666667;620;654;558;0,74;5;3,7;3,9;4,8;5,3;2,8;4,2;4;4,1;IND;S
626;635;605;4;480;626;611;0,52;3;4;3;1,8;4,3;1,8;3,5;2,5;3;IND;V
616;728;684;4,727272727;710;711;706;0,84;4,4;4,4;2,8;4,4;4,8;2,7;4;4;4;COM;S
626;728;661;5,672727273;810;699;665;0,9;7;6,2;4,9;7;5,5;5,3;6,2;6;6,1;COM;S
646;775;702;4,875;730;740;725;0,84;4,7;5,2;3,3;4,9;5,2;4,4;4,4;4,9;4,7;IND;S
;;;5,027272727;740;657;;0,78;4,9;5;4,6;4,4;4,8;1,9;5;4,9;5;COM;S
626;635;601;4,263636364;626,4;626;602;0,72;4,4;5,5;1,9;4,1;3,8;5;4;4,1;4,1;COM;V
729;648;663;5,354545455;780;659;682;0,54;5,7;5,6;3,8;6,4;4,4;4,5;5,4;4,9;5,2;COM;S
646;728;556;3,681818182;457,3;680;556;0,7;4,4;4,4;1,6;4,2;4,6;1,6;3,1;3,1;3,1;COM;V
616;697;538;2,818181818;323,6;653;538;0,72;2,2;3,5;2,2;3,5;2,6;2,2;2,1;2,6;2,4;COM;S
770;644;573;3,55;440;644;591;0,48;3,3;3;3,1;2,5;3;1,8;2,8;2,2;2,5;IND;S
710;719;637;5,981818182;840;706;655;0,9;6;7;6;6,9;5,8;4;6,5;5,8;6,2;COM;S
639;706;629;5,5;790;673;629;0,78;6,2;5,9;5,1;6,8;5,4;5,2;5,8;5,9;5,9;COM;S
646;737;626;5,472727273;790;696;626;0,78;5,6;7;5,6;6;5,5;5,4;6,1;5,4;5,8;COM;S
565;727;603;1,7;160;674;603;0,74;3,3;4,1;;3,5;2,4;;2;2,4;2,2;IND;S
681;812;748;5,366666667;780;785;850;0,98;4,7;5,4;2,5;6;4,3;3,1;5,4;5;5,2;IND;S
626;691;676;4,618181818;700;685;679;0,88;5,3;5,5;3,3;5,9;4;2,5;4,6;4;4,3;COM;S
607;704;466;4,563636364;700;640;466;0,78;5,7;3,5;2,7;5,8;4,1;2,9;4;5,2;4,6;COM;V
582;756;629;5,125;750;699;629;0,78;5;5;3;6;4,8;3,1;4,8;4,9;4,9;IND;S
657;794;729;5,741666667;810;763;765;0,88;6,5;5,2;6,6;5,3;6,3;4,4;6;5,5;5,8;IND;V
;;;4,927272727;730;629;;0,66;4,3;4,2;5,3;4,9;3,4;3,5;4,7;4;4,4;COM;S
607;756;645;5,591666667;800;711;654;0,92;5,6;5,2;6,8;5,7;5,6;5,3;6;5,5;5,8;IND;S
616;679;633;4,581818182;634,5;665;633;0,66;4,5;5;3,3;3;4;3,5;4,6;3,4;4;COM;S
657;704;597;5,581818182;800;673;597;0,78;4,3;5,1;5,5;6,3;5,2;5,6;4,9;5,8;5,4;COM;S
626;697;727;4,490909091;690;694;751;0,8;6,3;6,4;3,8;6,3;4,5;3,1;4,8;4;4,4;COM;S
591;719;633;5,109090909;750;686;633;0,58;6,9;6,2;4,7;5,5;5,6;3,8;5,9;5;5,5;COM;S
626;775;649;5,716666667;810;730;673;0,9;6;3,2;2,7;5,2;5,8;4,2;5,8;5,4;5,6;IND;S
552;704;605;5,708333333;810;660;605;0,72;6;6,4;6,9;6;5,5;5,6;6,2;5,9;6,1;IND;V
626;712;626;4,572727273;634,5;683;626;0,74;4,3;5;3,1;4,8;3,8;1,8;4,2;3,9;4,1;COM;S
646;691;599;4,372727273;680;659;599;0,68;4;2,7;4,3;5,1;4,2;4,3;4;4,1;4,1;COM;S
653;668;595;4,23;560;648;597;0,5;3,2;4,8;4;4,2;3,6;2,2;4,1;2,8;3,5;IND;V
;;;4,172727273;594,5;609;;0,26;2,6;5,9;4,2;3,3;2,6;2,7;4;3,3;3,7;COM;V
477;697;608;4,875;730;645;609;0,7;5,2;6,2;3,2;6;4,6;3,8;4,3;4,8;4,6;IND;S
616;679;548;4,208333333;560;641;548;0,58;6;4,6;2,5;3,2;3,9;4,4;4,1;2,8;3,5;IND;S
598;644;655;4,416666667;680;643;661;0,66;3,3;4,5;3,1;3,1;4,6;4;4,4;4;4,2;IND;S
626;658;618;4,283333333;610;650;634;0,66;2,4;4,5;2,7;4,3;3,5;4,6;3,5;4,3;3,9;IND;S
598;679;622;2,816666667;320;653;630;0,76;2,8;2;2;3,5;4,4;3;2,4;3,6;3;IND;V
636;685;624;4,8;720;657;631;0,66;4;3,7;3,6;3;4,7;3,1;4,4;4;4,2;IND;S
646;635;732;5,127272727;750;669;736;0,64;5;5,8;4,9;5,4;5;4;4,5;4,6;4,6;COM;S
639;656;723;5,645454545;800;668;749;0,76;5,3;5,1;6,1;6,2;5,3;4,8;5,7;5,7;5,7;COM;V
582;756;599;3,558333333;440;697;600;0,42;3,4;4,6;2,2;2,4;3,9;1,3;3,6;2,3;3;IND;S
560;712;605;5,009090909;740;670;613;0,84;6,3;6,3;3,6;6,3;4,7;5,3;4,8;4,7;4,8;COM;S
606;637;523;4,144444444;530;607;523;0,5;3;1,6;2,6;1,5;4,3;2,1;1,9;2,3;2,1;IND;V
560;673;643;2,758333333;280;649;643;0,64;4,5;3,2;4,5;3,8;3,2;1,4;3,7;2,2;3;IND;S
710;697;694;4,725;650;700;719;0,9;3,2;3,2;2,5;3,1;3,2;2,7;4,5;3,2;3,9;IND;S
657;663;752;5,372727273;780;681;791;0,74;4;5,9;5,6;5,1;5,3;4;5,7;4,7;5,2;COM;V
681;673;729;4,945454545;730;685;802;0,64;;5,9;6,1;3,7;5,6;4,3;5,2;4,2;4,7;COM;S
607;719;629;4,136363636;540,9;681;629;0,68;4;3,9;2,2;3,1;2,1;4;3,2;3,3;3,3;COM;S
539;648;740;4,708333333;710;661;779;0,7;4;4,8;4,9;4,3;4,6;4,3;4,7;4,4;4,6;IND;S
;;;4,954545455;740;;;0,52;3,2;4,1;5;3,4;4,9;4,1;4,7;4,1;4,4;COM;S
568;697;569;3,583333333;440;644;569;0,68;3,8;3,6;2,5;4,1;4,1;1,3;3,2;2,8;3;IND;S
598;728;540;5,066666667;750;671;540;0,8;5,7;6,6;5,2;5,3;5,7;3,6;6;4,6;5,3;IND;S
729;794;742;6,063636364;850;773;775;0,88;6,7;5,9;6,7;7;6,5;5,1;6,5;6,3;6,4;COM;V
546;668;562;4,127272727;650;625;562;0,6;4,1;4,3;4,1;4,7;3,5;3,5;4;4;4;COM;V
657;691;686;4,208333333;540;687;722;0,66;2,8;4;3,9;1,9;2,8;2,3;3,5;2,8;3,2;IND;S
657;639;519;3,466666667;430;609;519;0,5;3;3,4;2;2,8;3,6;2;2,4;2,4;2,4;IND;V
598;685;612;4,616666667;700;653;614;0,54;4,7;4;3,2;3,3;5;4,2;4;4;4;IND;S
694;737;706;5,516666667;790;728;739;0,94;6,3;6,9;6,1;4,9;5,6;4,1;6,3;5,3;5,8;IND;S
591;639;585;4,227272727;594,5;621;585;0,44;4,9;5,7;3,7;5,1;3,3;4,2;4;3,5;3,8;COM;V
657;668;610;3,2;400;658;640;0,66;3;3,8;1,9;3,2;2;;2,5;2,7;2,6;IND;S
802;728;622;5,083333333;750;708;622;0,84;5,3;5,5;3,2;6,3;5,3;4,9;5,5;5,5;5,5;IND;S
669;663;542;2,816666667;320;638;542;0,72;3,8;1,8;1,2;1,3;2,8;;1,9;1,5;1,7;IND;V
598;673;629;4,409090909;614,5;655;629;0,56;5,7;4,5;6,2;4;3,2;2,9;4,6;3,5;4,1;COM;S
616;635;622;5;740;624;627;0,62;4,5;4,6;4;4,1;3,4;4,4;4,4;4,2;4,3;COM;S
710;737;742;5,866666667;830;732;775;0,82;6,5;6,6;5,4;5,8;5,5;5,3;6,2;5,6;5,9;IND;V
;;;4,918181818;730;;;0,54;4,7;5,7;3,2;4,9;4,7;3,9;4,3;4,5;4,4;COM;S
705;640;637;3,85;470;646;666;0,54;5,3;3,2;2,1;2,5;4,3;1,8;3,1;2,9;3;IND;S
657;673;708;4,718181818;710;682;722;0,76;5;4;3;4,9;2,6;3,8;4,5;4,3;4,4;COM;S
653;620;631;4,272727273;670;621;631;0,34;4;4,8;1,4;3,8;3,2;3,5;4;4;4;COM;V
657;794;505;5,3;730;708;505;0,86;6,2;6,9;5,1;4,3;5,6;4;6,2;4,8;5,5;IND;S
681;756;643;5,345454545;770;718;647;0,92;5,5;5,4;5,5;5,5;5,3;5,6;5,6;5,2;5,4;COM;S
646;663;738;5,327272727;770;675;766;0,7;5,6;5,7;6,5;5,8;5,5;5;5,8;4,8;5,3;COM;S
710;663;678;4,818181818;720;671;686;0,48;4,7;4;3,7;5,1;3;4,1;4,1;4;4,1;COM;S
568;663;742;6,2;860;673;812;0,84;6,2;6,7;7;5,9;6,4;6,1;7;6,2;6,6;COM;S
591;630;639;3,863636364;477,3;625;649;0,64;3,2;4,2;1,9;3,6;4,8;1,4;3,2;3,3;3,3;COM;V
574;697;641;5,033333333;740;666;641;0,8;4,8;5;3,7;5;5,6;4;5,2;4,2;4,7;IND;S
770;719;665;5,436363636;780;714;701;0,74;6,6;6,2;4,8;5,6;5,1;4,7;6;5;5,5;COM;S
710;728;748;5,563636364;800;732;800;0,7;6,9;4,4;5,1;6,9;5,4;6,1;5,2;6,2;5,7;COM;S
560;690;672;5,509090909;790;669;676;0,8;5,9;6;5;;;;5,4;;5,4;IND;V
669;831;536;5,041666667;740;742;536;0,84;5,1;6,3;5,7;4,2;6;4,6;5,7;4,6;5,2;IND;S
607;691;715;4,918181818;730;680;734;0,76;5,3;6,2;6;5,4;4,8;3,9;5;4,3;4,7;COM;S
616;617;667;4,409090909;614,5;630;;0,52;4,3;4,8;3,5;3,5;4,1;2,3;4;3,5;3,8;COM;S
552;663;472;4,358333333;580;610;472;0,7;2,3;4,8;2,4;3,9;3,9;3,5;3,5;4,2;3,9;IND;V
565;690;538;3,45;430;645;538;;5,5;2,7;;4,2;3,8;2,2;2,7;2,9;2,8;IND;S
616;704;692;4,925;730;687;734;0,8;5,8;4,6;4,8;4,5;5,8;5;4,7;5;4,9;IND;S
607;728;589;4,354545455;614,5;683;597;0,72;5,5;4,9;2,8;5,2;4,7;1,9;4,1;3,7;3,9;COM;S
568;685;556;4,716666667;710;644;556;0,62;3,5;4,7;4,2;4,4;5,1;4;4,8;4,2;4,5;IND;S
639;690;526;4,572727273;656,4;653;526;0,38;2,5;3,3;4;5,3;4,7;3,8;3,1;5,1;4,1;COM;V
560;685;614;4,372727273;614,5;653;614;0,7;5,5;5,4;5,1;5,2;4,6;3,1;4,9;3,5;4,2;COM;S
582;658;692;4,558333333;594;651;815;0,5;4,5;4,2;3,6;3,7;5,4;1,8;4,1;4,8;4,5;IND;S
646;663;595;5,045454545;740;644;595;0,62;4,1;4,5;5,3;5,3;5,1;5,4;5;5,3;5,2;COM;V
710;653;734;4,463636364;624,5;679;797;0,54;2,3;5,6;3,6;4,1;3,3;2,6;4;3,3;3,7;COM;S
;;;4,618181818;700;631;;0,8;5,2;5,7;5;4;4,3;3,1;4,5;4;4,3;COM;S
;;;4,554545455;700;628;;0,82;4,9;4,5;4,3;6;5,4;2,7;4,2;4,7;4,5;COM;V
657;685;637;5,118181818;750;669;638;0,66;5,5;5;4,5;5,9;4,6;3,8;4,3;5,3;4,8;COM;S
591;648;676;4,254545455;626,4;644;683;0,36;4,9;4,3;4,7;4;4,3;3,3;4,1;4;4,1;COM;V
646;614;659;4,99;700;616;680;;5;5;4,4;5,9;4,8;3,1;5;4,3;4,7;IND;V
607;691;706;5,027272727;740;683;731;0,74;6;6,4;7;5,4;4,8;3,8;6,1;4,3;5,2;COM;S
;;;4,39;640;;;0,48;5,3;4,2;4,4;4,7;4;2,3;4,1;4;4,1;IND;V
646;658;581;4,416666667;580;643;581;0,78;5,6;5,1;4,3;4,1;4,1;2,4;4,8;3,2;4;IND;S
616;704;637;5,333333333;770;684;640;0,7;5,5;5,9;5,2;5,3;6,1;4,1;5,2;5,4;5,3;IND;S
598;697;639;5,416666667;780;677;648;0,88;5;;4,3;5,8;5,1;4,5;5;5,2;5,1;IND;S
616;728;770;5,975;840;727;837;0,96;5;6,8;7;5,8;6;6,4;6,4;6,1;6,3;IND;V
582;658;641;4,783333333;720;650;746;0,64;4,5;4,5;3,4;5,2;4,5;3,1;4,8;4,4;4,6;IND;S
636;673;540;4;600;641;540;0,8;4,4;5,6;4,6;4,3;5,6;2,2;5;4;4,5;IND;S
582;679;706;4,509090909;624,5;682;758;0,72;4,4;6,2;2,8;4,6;4,8;3;4,3;3,8;4,1;COM;S
;;;4,283333333;560;650;;0,62;2,8;3,6;3,4;3,3;4,5;2,2;2,9;4,1;3,5;IND;S
636;756;670;6,21;820;736;688;0,88;6;6,4;7;6,2;6,2;6,1;6,5;6,4;6,5;IND;V
591;673;729;6,1;850;678;781;0,8;6;7;7;6,1;5,6;5,8;6,8;5,9;6,4;COM;V
636;648;729;5,3;770;669;734;0,58;4,4;5,9;4,6;5,6;4,4;2,7;5,3;5,3;5,3;COM;S
636;685;688;4,458333333;650;680;705;0,72;3,7;4,9;2,9;5,2;5,1;4,4;4,6;4,7;4,7;IND;S
636;685;672;5,48;790;680;683;0,68;6,7;7;2,6;;;;5,8;;5,8;COM;V
568;648;715;5,318181818;770;650;730;0,72;5,7;6,4;5,1;5,7;5,4;4,6;5,8;5,9;5,9;COM;V
626;668;528;4,581818182;700;637;528;0,66;4,2;4,5;3,3;4,5;3,6;4,3;4,4;4,4;4,4;COM;V
729;635;693;4,909090909;730;669;761;0,54;4,3;3,6;3,7;3,9;3,7;3,4;4,4;4;4,2;COM;V
;;;2,845454545;323,6;;;0,62;4,1;4,1;1,4;3;3,5;;2,7;2,5;2,6;COM;S
657;737;530;2,675;270;676;534;0,88;;6,4;;5,7;5,2;;2,9;3,6;3,3;IND;S
560;663;544;4,51;650;618;544;0,66;4,8;4,3;4,3;4,1;3,9;3;4,5;4;4,3;IND;V
729;622;738;4,909090909;730;670;775;0,64;4,9;;4,9;5,8;3,9;3,7;4,2;4,4;4,3;COM;S
669;697;665;4,881818182;730;680;686;0,72;4,9;5,8;3,5;4,7;4;5,3;4,9;4,3;4,6;COM;S
669;673;624;4,6;700;658;632;0,58;4;4,8;4;5,4;4,1;4,1;4,3;4,2;4,3;COM;S
626;756;639;5,381818182;780;717;684;0,84;4,3;5,3;5,8;5,6;5,8;4,7;5,4;5;5,2;COM;S
626;756;608;4,954545455;740;709;608;0,82;5,7;4,2;4,9;5,4;5,3;4,8;5;4,7;4,9;COM;S
657;648;688;5,118181818;750;659;719;0,76;4,7;4,3;4,3;4,6;3,8;5,1;4,7;4,7;4,7;COM;S
591;673;589;4,381818182;680;639;589;0,68;4,4;4,3;3,7;4,8;3,5;4,7;5;4;4,5;COM;S
669;673;622;1,981818182;200;655;622;0,64;4,1;3,4;1,2;3,4;;;2,4;1,6;2;COM;S
626;653;597;3,86;530;633;597;0,5;4,4;4,6;2,4;3,5;3;1,8;4;2,6;3,3;IND;V
636;663;587;4,209090909;660;639;587;0,68;4,4;4,7;2,7;3,7;4,5;3,3;4;4,1;4,1;COM;V
546;653;614;4,563636364;700;631;626;0,48;4,4;4,5;5,6;5,3;3,3;4,1;4,9;4;4,5;COM;V
681;668;692;4,309090909;626,4;673;704;0,62;4,7;5,3;4,1;4,8;4,5;3,1;4,5;4,4;4,5;COM;S
607;704;550;4,425;620;657;562;0,78;4,1;3,8;2,8;3;3,9;2,8;4,4;3,7;4,1;IND;S
574;663;;5,566666667;800;650;;0,68;4,7;6,1;5,7;6;6,1;5,6;5,6;5,8;5,7;IND;S
616;685;626;3,966666667;480;663;665;0,74;3;3,4;3,5;2,5;3,5;2,2;3,3;3,1;3,2;IND;S
669;658;620;4,336363636;604,5;666;620;0,76;4,4;4,6;4,8;4,9;3,1;2;4,1;2,7;3,4;COM;S
552;712;690;5,218181818;760;691;724;0,78;3,7;4,6;5;4,8;4,8;3,3;4,9;5;5;COM;V
518;704;509;4,96;700;632;510;0,82;5,7;5,5;6,5;4,4;5;5;4,9;5,1;5;IND;V
669;784;715;4,591666667;;753;744;0,84;6,3;6;4;5,9;4,7;4,3;5,2;4,5;4,9;IND;S
568;668;651;4,845454545;720;654;669;0,72;4,7;5,5;6;4,8;4,2;4;4,9;4,3;4,6;COM;V
657;697;661;4,818181818;720;678;672;0,8;4,6;5,2;3,3;4,9;2,4;3,9;4,1;4;4,1;COM;S
582;671;583;5,73;770;643;587;0,68;6,7;5,9;4,9;6,9;6,2;3,9;5,9;5,6;5,8;IND;V
607;756;597;5,572727273;800;697;599;0,92;6;6,3;6;6,6;5,3;5;6,1;5,7;5,9;COM;S
636;697;567;3,033333333;380;664;567;0,58;2,9;1,4;1,1;1,4;2,5;1,1;1,8;1,6;1,7;IND;S
616;756;665;5,15;760;723;701;0,78;4,3;5,6;4,4;4,4;5,4;2,6;4,6;5;4,8;IND;V
657;704;663;5,054545455;750;688;663;0,78;5,6;5,1;4,7;4,3;5,2;3,4;4,9;4,8;4,9;COM;S
582;704;492;4,3;626,4;637;492;0,62;5,1;3,9;3,1;5,8;4,6;4;4;5,1;4,6;COM;V
;;;3,918181818;564,5;;;0,46;3,8;4,6;2,8;2,5;2,5;2,7;4,4;2,5;3,5;COM;S
694;737;680;5,245454545;760;724;724;0,88;5,7;4,8;7;6,1;5,3;3,7;5,6;4,3;5;COM;V
695;751;482;2,208333333;220;680;482;0,82;4,3;3,8;;;4,8;4;2,3;2,6;2,5;IND;S
;;;3,827272727;467,3;606;;0,42;2,4;2,6;2,8;3,3;2,2;4,3;3,1;3,1;3,1;COM;V
;;;3,836363636;532,7;;;0,42;3,3;4;2,1;4,1;4,1;2,8;3,5;4,4;4;COM;V
574;719;575;4,091666667;610;666;587;0,8;4,7;6,5;3,2;5,6;5,1;3,3;4,3;4;4,2;IND;S
568;679;663;4,8;720;657;693;0,6;6,3;5,7;4,4;4,5;4;3,9;4,9;4;4,5;COM;S
598;644;717;4,163636364;550,9;656;756;0,64;5,3;4,2;3,5;1,9;3,4;3,6;4,1;3;3,6;COM;S
560;691;509;4,36;580;632;509;0,7;4,9;4,8;3,7;4,4;4,1;2,7;4,2;3,4;3,8;IND;V
568;679;605;3,416666667;420;645;605;0,6;1,8;4,8;2,6;3;2,2;2,3;3,1;2,7;2,9;IND;S
694;644;519;2,766666667;320;621;519;0,5;2,2;1,4;;1,2;2,5;;1,7;1,5;1,6;IND;V
552;712;608;5,075;750;667;642;0,62;4,9;5,3;3,8;3,9;5,8;4,3;5,3;4,4;4,9;IND;S
485;658;667;5,527272727;790;637;680;0,7;6,4;6,1;6,7;6,1;6,3;5,3;6,3;5,2;5,8;COM;S
607;679;702;5,033333333;740;676;741;0,6;5,5;3,6;4,1;4,6;5,2;5,1;4,2;5;4,6;IND;V
582;704;635;5,08;710;670;652;0,66;5,3;4,8;5,1;5,9;4,6;4,5;5,1;4,9;5;IND;V
;;;4,190909091;594,5;646;;0,58;2,9;3;5,2;4,1;2,3;2,5;4;3,1;3,6;COM;S
574;679;558;4,583333333;700;641;558;0,66;5,8;5,2;2,1;4;5,9;3,5;4,1;4,5;4,3;IND;S
729;737;661;5,116666667;750;717;694;0,76;4;5;1,3;4,2;5;3,3;5,1;4,3;4,7;IND;S
636;663;715;5,908333333;830;674;768;0,6;5,3;5,8;6,4;6,9;5,6;4,7;5,9;5,8;5,9;IND;S
657;691;564;5,036363636;740;658;564;0,7;6,5;6,8;4,3;5,3;3,7;4;6;4,4;5,2;COM;V
694;697;647;4,590909091;700;686;653;0,7;4,7;4,9;1,7;5,4;4,7;4;4;4,5;4,3;COM;S
625;617;667;5,02;700;623;687;0,44;5,2;5,6;5,3;4,4;4,6;3,8;5,3;4,3;4,8;IND;V
512;668;631;4,791666667;720;649;691;0,72;3,7;4;2,5;3,4;4,6;6,1;4;5,1;4,6;IND;S
560;704;702;5,983333333;840;697;752;0,78;4,3;6,5;5,8;6,6;6;4,5;5,8;5,8;5,8;IND;S
695;713;719;6,227272727;860;714;758;0,66;6,4;6,5;6,5;6,4;6,4;6,2;6,4;6,5;6,5;COM;S
616;673;635;5,127272727;750;660;635;0,7;4,7;5,9;3,9;6,4;5,4;4,9;5,3;5,8;5,6;COM;S
710;697;661;4,466666667;630;691;667;0,78;2,5;4,5;4,7;3,8;5,3;2,5;4;3,6;3,8;IND;S
568;756;511;5,491666667;750;680;511;0,9;5,9;6,7;6,5;5,6;5,2;6;6,5;5,8;6,2;IND;S
607;794;637;4,433333333;580;730;637;0,7;;4,8;1,5;;5;3,4;3,6;4,4;4;IND;S
646;728;633;4,409090909;680;693;633;0,76;6;5,7;5,5;5,8;4,5;3,8;4,5;4,1;4,3;COM;S
582;756;657;4,391666667;640;715;675;0,9;5;6;2,7;4,4;5,4;2,5;4,9;4;4,5;IND;S
505;658;605;4,441666667;640;628;625;0,52;5,5;4,9;3,8;3,5;4,1;2,7;4,5;4;4,3;IND;V
560;653;657;5,036363636;740;633;693;0,54;5,8;6,7;5,1;5,9;5,8;4,7;5;4,8;4,9;COM;V
636;609;661;4,981818182;740;627;674;0,44;5,6;5;5,8;4,5;5,7;4,5;4,8;4,8;4,8;COM;V
